style_number,product_name,batch_id,item_number,gtin,notes
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L36-W26,07311131702712,"Item: 112327-L36-W26 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L36-W27,07311131702750,"Item: 112327-L36-W27 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L36-W28,07311131702798,"Item: 112327-L36-W28 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L36-W29,07311131702835,"Item: 112327-L36-W29 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L36-W30,07311131702873,"Item: 112327-L36-W30 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L36-W31,07311131702910,"Item: 112327-L36-W31 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L36-W32,07311131702958,"Item: 112327-L36-W32 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L36-W33,07311131702996,"Item: 112327-L36-W33 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L36-W34,07311131703030,"Item: 112327-L36-W34 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L36-W36,07311131703078,"Item: 112327-L36-W36 | Supplier: 10031"
112327,"Loose Leif Crispy Faded",TUN-2024-Q1-001,112327-L36-W38,07311131703115,"Item: 112327-L36-W38 | Supplier: 10031"
