style_id,product_name,batch_id,item_number,gtin,product_type,size_value_1,size_value_2,notes
2,"Tiny Turner Kid Rinsed Wash",1,910006-B26-K07,07311131277548,kids,7,B26,"Size K07 | Supplier 10031"
2,"Tiny Turner Kid Rinsed Wash",1,910006-B26-K08,07311131277555,kids,8,B26,"Size K08 | Supplier 10031"
2,"Tiny Turner Kid Rinsed Wash",1,910006-B26-K10,07311131277562,kids,10,B26,"Size K10 | Supplier 10031"
2,"Tiny Turner Kid Rinsed Wash",1,910006-B26-K12,07311131277579,kids,12,B26,"Size K12 | Supplier 10031"
2,"Tiny Turner Kid Rinsed Wash",1,910006-B26-K14,07311131277586,kids,14,B26,"Size K14 | Supplier 10031"
