Item number	Sts	Itp	Name	Atp30	Customs no	Specification 3	Pur price	Suppl	Alias number	Ch dt	Resp	F 4	Nt wt	Sp5	Fld heading 11
112327-L34-W33	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702989	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L34-W34	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131703023	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L34-W36	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131703061	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L34-W38	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131703108	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L36-W24	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702637	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L36-W25	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702675	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L36-W26	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702712	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L36-W27	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702750	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L36-W28	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702798	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L36-W29	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702835	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L36-W30	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702873	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L36-W31	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702910	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L36-W32	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702958	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L36-W33	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131702996	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L36-W34	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131703030	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L36-W36	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131703078	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
112327-L36-W38	20	100	Loose Leif Crispy Faded	100%CO	6203423100	MID: ITBULINS2URB	25,60	10031	7311131703115	251028	NORAQDQV01	171	0,850	TR	NJ/WT02
